Tue Dec 19 15:29:38 2023 Epoch 1, lr: 0.0000010, train loss: 5.32339, valid set1 loss: 2.80643
Tue Dec 19 16:01:33 2023 Epoch 22, lr: 0.0000009, train loss: 0.08449, valid set1 loss: 0.07587
Tue Dec 19 16:03:11 2023 Epoch 23, lr: 0.0000009, train loss: 0.07445, valid set1 loss: 0.08446
Tue Dec 19 16:04:41 2023 Epoch 24, lr: 0.0000009, train loss: 0.07428, valid set1 loss: 0.07722
Tue Dec 19 16:06:10 2023 Epoch 25, lr: 0.0000009, train loss: 0.07176, valid set1 loss: 0.07843
Tue Dec 19 16:07:40 2023 Epoch 26, lr: 0.0000008, train loss: 0.06901, valid set1 loss: 0.07423
Tue Dec 19 16:09:11 2023 Epoch 27, lr: 0.0000008, train loss: 0.06781, valid set1 loss: 0.07503
Tue Dec 19 16:10:41 2023 Epoch 28, lr: 0.0000008, train loss: 0.06647, valid set1 loss: 0.07253
Tue Dec 19 16:12:12 2023 Epoch 29, lr: 0.0000008, train loss: 0.06719, valid set1 loss: 0.07076
Tue Dec 19 16:13:43 2023 Epoch 30, lr: 0.0000008, train loss: 0.06282, valid set1 loss: 0.07140
Tue Dec 19 16:15:13 2023 Epoch 31, lr: 0.0000008, train loss: 0.06142, valid set1 loss: 0.07051
Tue Dec 19 16:16:45 2023 Epoch 32, lr: 0.0000008, train loss: 0.06378, valid set1 loss: 0.06735
Tue Dec 19 16:18:16 2023 Epoch 33, lr: 0.0000008, train loss: 0.06032, valid set1 loss: 0.06865
Tue Dec 19 16:19:46 2023 Epoch 34, lr: 0.0000007, train loss: 0.05801, valid set1 loss: 0.06729
Tue Dec 19 16:21:17 2023 Epoch 35, lr: 0.0000007, train loss: 0.05734, valid set1 loss: 0.06883
Tue Dec 19 16:22:47 2023 Epoch 36, lr: 0.0000007, train loss: 0.05905, valid set1 loss: 0.06822
Tue Dec 19 16:24:17 2023 Epoch 37, lr: 0.0000007, train loss: 0.05684, valid set1 loss: 0.07069
Tue Dec 19 16:25:47 2023 Epoch 38, lr: 0.0000007, train loss: 0.05805, valid set1 loss: 0.06699
Tue Dec 19 16:27:18 2023 Epoch 39, lr: 0.0000007, train loss: 0.06209, valid set1 loss: 0.06525
Tue Dec 19 16:28:50 2023 Epoch 40, lr: 0.0000006, train loss: 0.06040, valid set1 loss: 0.06680
Tue Dec 19 16:30:20 2023 Epoch 41, lr: 0.0000006, train loss: 0.05709, valid set1 loss: 0.06762
Tue Dec 19 16:31:49 2023 Epoch 42, lr: 0.0000006, train loss: 0.05623, valid set1 loss: 0.06669
Tue Dec 19 16:33:19 2023 Epoch 43, lr: 0.0000006, train loss: 0.05461, valid set1 loss: 0.06586
Tue Dec 19 16:34:49 2023 Epoch 44, lr: 0.0000006, train loss: 0.05636, valid set1 loss: 0.06733
Tue Dec 19 16:36:19 2023 Epoch 45, lr: 0.0000006, train loss: 0.05546, valid set1 loss: 0.06653
Tue Dec 19 16:37:49 2023 Epoch 46, lr: 0.0000006, train loss: 0.05567, valid set1 loss: 0.06815
Tue Dec 19 16:39:19 2023 Epoch 47, lr: 0.0000005, train loss: 0.05221, valid set1 loss: 0.06569
Tue Dec 19 16:40:49 2023 Epoch 48, lr: 0.0000005, train loss: 0.05251, valid set1 loss: 0.06552
Tue Dec 19 16:42:19 2023 Epoch 49, lr: 0.0000005, train loss: 0.05052, valid set1 loss: 0.06606
Tue Dec 19 16:43:49 2023 Epoch 50, lr: 0.0000005, train loss: 0.05038, valid set1 loss: 0.06559
Tue Dec 19 16:45:19 2023 Epoch 51, lr: 0.0000005, train loss: 0.04830, valid set1 loss: 0.06495
Tue Dec 19 16:46:51 2023 Epoch 52, lr: 0.0000005, train loss: 0.04746, valid set1 loss: 0.06616
Tue Dec 19 16:48:21 2023 Epoch 53, lr: 0.0000004, train loss: 0.04699, valid set1 loss: 0.06589
Tue Dec 19 16:49:51 2023 Epoch 54, lr: 0.0000004, train loss: 0.04590, valid set1 loss: 0.06519
Tue Dec 19 16:51:21 2023 Epoch 55, lr: 0.0000004, train loss: 0.04630, valid set1 loss: 0.06556
Tue Dec 19 16:52:51 2023 Epoch 56, lr: 0.0000004, train loss: 0.04547, valid set1 loss: 0.06590
Tue Dec 19 16:54:20 2023 Epoch 57, lr: 0.0000004, train loss: 0.04436, valid set1 loss: 0.06559
Tue Dec 19 16:55:50 2023 Epoch 58, lr: 0.0000004, train loss: 0.04424, valid set1 loss: 0.06488
Tue Dec 19 16:57:21 2023 Epoch 59, lr: 0.0000004, train loss: 0.04430, valid set1 loss: 0.06413
Tue Dec 19 16:58:52 2023 Epoch 60, lr: 0.0000003, train loss: 0.04356, valid set1 loss: 0.06403
Tue Dec 19 17:00:23 2023 Epoch 61, lr: 0.0000003, train loss: 0.04351, valid set1 loss: 0.06516
Tue Dec 19 17:01:53 2023 Epoch 62, lr: 0.0000003, train loss: 0.04180, valid set1 loss: 0.06505
Tue Dec 19 17:03:23 2023 Epoch 63, lr: 0.0000003, train loss: 0.04251, valid set1 loss: 0.06468
Tue Dec 19 17:04:53 2023 Epoch 64, lr: 0.0000003, train loss: 0.04373, valid set1 loss: 0.06387
Tue Dec 19 17:06:24 2023 Epoch 65, lr: 0.0000003, train loss: 0.04245, valid set1 loss: 0.06519
Tue Dec 19 17:07:53 2023 Epoch 66, lr: 0.0000003, train loss: 0.04250, valid set1 loss: 0.06572
Tue Dec 19 17:09:23 2023 Epoch 67, lr: 0.0000002, train loss: 0.04230, valid set1 loss: 0.06474
Tue Dec 19 17:10:52 2023 Epoch 68, lr: 0.0000002, train loss: 0.04533, valid set1 loss: 0.06444
Tue Dec 19 17:12:21 2023 Epoch 69, lr: 0.0000002, train loss: 0.04473, valid set1 loss: 0.06538
Tue Dec 19 17:13:51 2023 Epoch 70, lr: 0.0000002, train loss: 0.04544, valid set1 loss: 0.06620
Tue Dec 19 17:15:20 2023 Epoch 71, lr: 0.0000002, train loss: 0.04537, valid set1 loss: 0.06608
Tue Dec 19 17:16:50 2023 Epoch 72, lr: 0.0000002, train loss: 0.04245, valid set1 loss: 0.06519
Tue Dec 19 17:18:20 2023 Epoch 73, lr: 0.0000002, train loss: 0.04204, valid set1 loss: 0.06455
Tue Dec 19 17:19:50 2023 Epoch 74, lr: 0.0000001, train loss: 0.04104, valid set1 loss: 0.06405
Tue Dec 19 17:21:20 2023 Epoch 75, lr: 0.0000001, train loss: 0.04239, valid set1 loss: 0.06356
Tue Dec 19 17:22:52 2023 Epoch 76, lr: 0.0000001, train loss: 0.04057, valid set1 loss: 0.06348
Tue Dec 19 17:24:23 2023 Epoch 77, lr: 0.0000001, train loss: 0.04035, valid set1 loss: 0.06369
Tue Dec 19 17:25:53 2023 Epoch 78, lr: 0.0000001, train loss: 0.04023, valid set1 loss: 0.06390
Tue Dec 19 17:27:24 2023 Epoch 79, lr: 0.0000001, train loss: 0.04261, valid set1 loss: 0.06402
Tue Dec 19 17:28:55 2023 Epoch 80, lr: 0.0000001, train loss: 0.04008, valid set1 loss: 0.06398
Tue Dec 19 17:30:25 2023 Epoch 81, lr: 0.0000001, train loss: 0.03932, valid set1 loss: 0.06391
Tue Dec 19 17:31:49 2023 Epoch 82, lr: 0.0000001, train loss: 0.03977, valid set1 loss: 0.06394
Tue Dec 19 17:33:14 2023 Epoch 83, lr: 0.0000001, train loss: 0.03874, valid set1 loss: 0.06404
Tue Dec 19 17:34:39 2023 Epoch 84, lr: 0.0000001, train loss: 0.03870, valid set1 loss: 0.06414
Tue Dec 19 17:36:03 2023 Epoch 85, lr: 0.0000000, train loss: 0.03848, valid set1 loss: 0.06414
Tue Dec 19 17:37:27 2023 Epoch 86, lr: 0.0000000, train loss: 0.04010, valid set1 loss: 0.06413
Tue Dec 19 17:38:52 2023 Epoch 87, lr: 0.0000000, train loss: 0.03871, valid set1 loss: 0.06417
Tue Dec 19 17:40:15 2023 Epoch 88, lr: 0.0000000, train loss: 0.03974, valid set1 loss: 0.06417
Tue Dec 19 17:41:39 2023 Epoch 89, lr: 0.0000000, train loss: 0.03956, valid set1 loss: 0.06417
Tue Dec 19 17:43:03 2023 Epoch 90, lr: 0.0000000, train loss: 0.03938, valid set1 loss: 0.06416
Tue Dec 19 17:44:26 2023 Epoch 91, lr: 0.0000000, train loss: 0.03863, valid set1 loss: 0.06415
Tue Dec 19 17:45:49 2023 Epoch 92, lr: 0.0000000, train loss: 0.03886, valid set1 loss: 0.06414
Tue Dec 19 17:47:12 2023 Epoch 93, lr: 0.0000000, train loss: 0.03884, valid set1 loss: 0.06413
Tue Dec 19 17:48:35 2023 Epoch 94, lr: 0.0000000, train loss: 0.03858, valid set1 loss: 0.06413
Tue Dec 19 17:49:58 2023 Epoch 95, lr: 0.0000000, train loss: 0.03857, valid set1 loss: 0.06413
Tue Dec 19 17:51:22 2023 Epoch 96, lr: 0.0000000, train loss: 0.03778, valid set1 loss: 0.06414
Tue Dec 19 17:52:45 2023 Epoch 97, lr: 0.0000000, train loss: 0.03763, valid set1 loss: 0.06414
Tue Dec 19 17:54:09 2023 Epoch 98, lr: 0.0000000, train loss: 0.03827, valid set1 loss: 0.06414
Tue Dec 19 17:55:32 2023 Epoch 99, lr: 0.0000010, train loss: 0.03733, valid set1 loss: 0.06498
Tue Dec 19 22:13:18 2023 Epoch 1, lr: 0.0000010, train loss: 1.00000, valid set1 loss: 0.00000
